date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:14	275056/275056	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-time-limit.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-time-limit.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:14	282310/282310	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-variable.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-variable.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:15	276364/276364	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-grouped.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/product-grouped.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:15	212412/212412	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shopping-cart.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/shopping-cart.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:17	204671/204671	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/wishlist.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/wishlist.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:17	208920/208920	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/compare.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/compare.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:18	212806/212806	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/checkout.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/shop/checkout.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:18	202590/202590	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/user-registration.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/user-registration.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:19	203021/203021	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/user-login.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/user-login.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:19	9930/9930	---M--	200	added ('OK')	image/jpeg	etag:%226662716d-26ca%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/images/background/bg-mega-menu-shop.jpg	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/images/background/bg-mega-menu-shop.jpg	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:19	217831/217831	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/grid.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/blog/grid.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:21	227114/227114	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/grid-sidebar.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/blog/grid-sidebar.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:22	216200/216200	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/masonry.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/blog/masonry.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:22	228891/228891	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/list.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/blog/list.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:22	227381/227381	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/classic.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/blog/classic.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:23	227927/227927	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/details-01.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/blog/details-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:24	231985/231985	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/details-02.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/blog/details-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:24	211630/211630	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/about-us-02.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/about-us-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:25	212038/212038	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/about-us-01.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/about-us-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:25	204802/204802	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/contact-us-01.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/contact-us-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:25	203982/203982	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/contact-us-02.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/contact-us-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:27	168083/168083	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/dashboard.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/dashboard.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:27	158866/158866	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/product-grid.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/product-grid.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:27	166476/166476	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/order-list.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/order-list.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:28	155038/155038	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/sellers-cards.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/sellers-cards.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:29	153290/153290	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/add-product-1.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/add-product-1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:30	156293/156293	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/transactions-1.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/transactions-1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:31	173311/173311	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/reviews.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/reviews.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:31	158573/158573	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/brands.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/brands.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:32	151933/151933	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/profile-settings.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/dashboard/profile-settings.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
